numero_processo,bloco,tipo,total_documentos,motivo_descarte,detalhe
02120.000008/2022-59,Processos do Alvo Complementar Quelônios Amazônicos - Programa Monitora - Ana Paula e Lilian,SOLICITAÇÃO,51,criterio_1_tipo_nao_tecnico,Tipo de processo 'SOLICITAÇÃO' não está na lista de tipos técnicos aceitos.
02071.000009/2023-15,Avaliação do risco de extinção da Herpetofauna,FAUNA,16,criterio_2_sem_doc_tecnico,"Tipo de processo aceito, mas nenhum título de documento no processo contém termo técnico (ou todos os termos técnicos encontrados coincidem com termos de tramitação administrativa)."
02070.009272/2023-71,Avaliação do risco de extinção da Herpetofauna,DIÁRIAS E PASSAGENS,120,criterio_1_tipo_nao_tecnico,Tipo de processo 'DIÁRIAS E PASSAGENS' não está na lista de tipos técnicos aceitos.
02070.012013/2023-28,Avaliação do risco de extinção da Herpetofauna,PROTOCOLO,18,criterio_1_tipo_nao_tecnico,Tipo de processo 'PROTOCOLO' não está na lista de tipos técnicos aceitos.
02070.018346/2023-61,Avaliação do risco de extinção da Herpetofauna,PROCESSO ADMINISTRATIVO,18,criterio_1_tipo_nao_tecnico,Tipo de processo 'PROCESSO ADMINISTRATIVO' não está na lista de tipos técnicos aceitos.
02070.000833/2024-58,Avaliação do risco de extinção da Herpetofauna,PROTOCOLO,20,criterio_1_tipo_nao_tecnico,Tipo de processo 'PROTOCOLO' não está na lista de tipos técnicos aceitos.
02070.007295/2025-11,Avaliação do risco de extinção da Herpetofauna,TRANSPORTE DE MATERIAL,11,criterio_1_tipo_nao_tecnico,Tipo de processo 'TRANSPORTE DE MATERIAL' não está na lista de tipos técnicos aceitos.
02070.016826/2025-59,Avaliação do risco de extinção da Herpetofauna,EVENTO,100,criterio_1_tipo_nao_tecnico,Tipo de processo 'EVENTO' não está na lista de tipos técnicos aceitos.
02071.000038/2025-31,Avaliação do risco de extinção da Herpetofauna,TERMO DE ACORDO,7,criterio_1_tipo_nao_tecnico,Tipo de processo 'TERMO DE ACORDO' não está na lista de tipos técnicos aceitos.
02071.000001/2026-93,Avaliação do risco de extinção da Herpetofauna,OFICINA,34,criterio_2_sem_doc_tecnico,"Tipo de processo aceito, mas nenhum título de documento no processo contém termo técnico (ou todos os termos técnicos encontrados coincidem com termos de tramitação administrativa)."
02071.000014/2026-62,Avaliação do risco de extinção da Herpetofauna,PROJETO DE PESQUISA,6,criterio_2_sem_doc_tecnico,"Tipo de processo aceito, mas nenhum título de documento no processo contém termo técnico (ou todos os termos técnicos encontrados coincidem com termos de tramitação administrativa)."
02071.000026/2026-97,Avaliação do risco de extinção da Herpetofauna,PROCESSO ADMINISTRATIVO,11,criterio_1_tipo_nao_tecnico,Tipo de processo 'PROCESSO ADMINISTRATIVO' não está na lista de tipos técnicos aceitos.
02031.000032/2026-11,Avaliação do risco de extinção da Herpetofauna,EVENTO,97,criterio_1_tipo_nao_tecnico,Tipo de processo 'EVENTO' não está na lista de tipos técnicos aceitos.
02070.015682/2023-51,Espécies Invasoras/Espécies Migratórias,CONSULTA,11,criterio_1_tipo_nao_tecnico,Tipo de processo 'CONSULTA' não está na lista de tipos técnicos aceitos.
02070.012581/2024-18,Espécies Invasoras/Espécies Migratórias,CONSULTA,152,criterio_1_tipo_nao_tecnico,Tipo de processo 'CONSULTA' não está na lista de tipos técnicos aceitos.
02071.000041/2024-73,Espécies Invasoras/Espécies Migratórias,FAUNA,94,criterio_2_sem_doc_tecnico,"Tipo de processo aceito, mas nenhum título de documento no processo contém termo técnico (ou todos os termos técnicos encontrados coincidem com termos de tramitação administrativa)."
02070.000463/2025-30,Espécies Invasoras/Espécies Migratórias,PROTOCOLO,21,criterio_1_tipo_nao_tecnico,Tipo de processo 'PROTOCOLO' não está na lista de tipos técnicos aceitos.
02070.002398/2023-15,Espécies Invasoras/Espécies Migratórias,TRANSPORTE DE MATERIAL,354,criterio_1_tipo_nao_tecnico,Tipo de processo 'TRANSPORTE DE MATERIAL' não está na lista de tipos técnicos aceitos.
02070.012020/2017-81,PAN Baixo Iguaçu,PLANEJAMENTO ESTRATÉGICO,224,criterio_1_tipo_nao_tecnico,Tipo de processo 'PLANEJAMENTO ESTRATÉGICO' não está na lista de tipos técnicos aceitos.
02071.010077/2016-55,PAN Paraíba do Sul,SERVIÇO GERAL,54,criterio_1_tipo_nao_tecnico,Tipo de processo 'SERVIÇO GERAL' não está na lista de tipos técnicos aceitos.
02031.000029/2026-05,PAN Paraíba do Sul,VIAGEM A SERVIÇO,40,criterio_1_tipo_nao_tecnico,Tipo de processo 'VIAGEM A SERVIÇO' não está na lista de tipos técnicos aceitos.
02071.000049/2020-14,Crocodilianos,VIAGEM A SERVIÇO,127,criterio_1_tipo_nao_tecnico,Tipo de processo 'VIAGEM A SERVIÇO' não está na lista de tipos técnicos aceitos.
02119.001420/2021-44,Crocodilianos,SOLICITAÇÃO,41,criterio_1_tipo_nao_tecnico,Tipo de processo 'SOLICITAÇÃO' não está na lista de tipos técnicos aceitos.
02071.000018/2021-36,Crocodilianos,ACORDO DE COOPERAÇÃO TÉCNICA,58,criterio_1_tipo_nao_tecnico,Tipo de processo 'ACORDO DE COOPERAÇÃO TÉCNICA' não está na lista de tipos técnicos aceitos.
02070.006870/2019-11,Crocodilianos,PROGRAMA,28,criterio_1_tipo_nao_tecnico,Tipo de processo 'PROGRAMA' não está na lista de tipos técnicos aceitos.
02070.007197/2023-12,Crocodilianos,PROTOCOLO,19,criterio_1_tipo_nao_tecnico,Tipo de processo 'PROTOCOLO' não está na lista de tipos técnicos aceitos.
02071.000048/2024-95,Crocodilianos,VIAGEM A SERVIÇO,141,criterio_1_tipo_nao_tecnico,Tipo de processo 'VIAGEM A SERVIÇO' não está na lista de tipos técnicos aceitos.
02001.001557/2007-68,Crocodilianos,SOLICITAÇÃO,2,criterio_1_tipo_nao_tecnico,Tipo de processo 'SOLICITAÇÃO' não está na lista de tipos técnicos aceitos.
02071.000059/2024-75,Crocodilianos,PORTARIA,5,criterio_2_sem_doc_tecnico,"Tipo de processo aceito, mas nenhum título de documento no processo contém termo técnico (ou todos os termos técnicos encontrados coincidem com termos de tramitação administrativa)."
02120.014855/2025-43,Crocodilianos,AJUDA DE CUSTO,38,criterio_1_tipo_nao_tecnico,Tipo de processo 'AJUDA DE CUSTO' não está na lista de tipos técnicos aceitos.
